Дата;Цена;Изменение;Капитализация в млрд. Руб
Дек. '19;6.169,0;0,0051;4027,7
Нояб. '19;6.137,5;0,0368;4027,7
Окт. '19;5.919,5;0,0987;4027,7
Сент. '19;5.387,5;0,0015;3852,1
Авг. '19;5.379,5;0,0293;3852,1
Июль '19;5.226,5;-0,0148;3852,1
Июнь '19;5.305,0;0,0069;3978
Май '19;5.268,5;-0,044;3978
Апр. '19;5.511,0;-0,065;3978
Март '19;5.894,0;0,0714;4420
Февр. '19;5.501,0;0,0433;4420
Янв. '19;5.272,5;0,0551;4420
Дек. '18;4.997,0;0,0206;3747
Нояб. '18;4.896,0;-0,0099;3747
Окт. '18;4.945,0;-0,0153;3747
Сент. '18;5.022,0;0,0684;3766
Авг. '18;4.700,5;0,0559;3766
Июль '18;4.451,5;0,0233;3766
Июнь '18;4.350,0;0,0335;3262
Май '18;4.209,0;0,0126;3262
Апр. '18;4.156,5;0,0494;3262
Март '18;3.961,0;0,0489;3369
Февр. '18;3.776,5;0,013;3369
Янв. '18;3.728,0;0,118;3369
Дек. '17;3.334,5;0,0128;2836
Нояб. '17;3.292,5;0,0635;2836
Окт. '17;3.096,0;0,0104;2836
Сент. '17;3.064,0;0,042;2606
Авг. '17;2.940,5;0,0511;2606
Июль '17;2.797,5;-0,0261;2606
Июнь '17;2.872,5;0,0434;2442
Май '17;2.753,0;-0,0231;2442
Апр. '17;2.818,0;-0,0547;2442
Март '17;2.981,0;-0,034;2535
Февр. '17;3.086,0;-0,0843;2535
Янв. '17;3.370,0;-0,0229;2535
Дек. '16;3.449,0;0,0819;2933
Нояб. '16;3.188,0;0,0284;2933
Окт. '16;3.100,0;0,0104;2933
Сент. '16;3.068,0;0,0532;2609
Авг. '16;2.913,0;0,016;2609
Июль '16;2.867,0;0,0682;2609
Июнь '16;2.684,0;0,0444;2282
Май '16;2.570,0;-0,0661;2282
Апр. '16;2.752,0;0,0496;2282
Март '16;2.622,0;-0,0238;2230
Февр. '16;2.686,0;0,0455;2230
Янв. '16;2.569,0;0,0951;2230
